"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"040014","210563","HIPOTECARIO EXEMPLEADOS LIQUIDEZ 20 ANOS","040014210563"
"040014","210641","Hipoteca Free Sustitución Fijos","040014210641"
"040014","2150","Remodelacion Pagos Programados","0400142150"
"040014","2155","Remodelacion Pagos Congelados","0400142155"
"040014","2160","Súper Casa Adquisición de Terreno Pagos Congelados Seguro Mensual","0400142160"
"040014","2200","Sustitucion","0400142200"
"040014","2250","ADQUISICION TASA MIXTA esquema 5/10","0400142250"
"040014","2272","Reestructura 15 Bullet Payment","0400142272"
"040014","2273","Reestructura 15","0400142273"
"040014","2274","Reestructura 20 Bullet Payment","0400142274"
"040014","2275","Reestructura 20","0400142275"
"040014","2282","Crédito Hipotecario en Cofinanciamiento Pagos Congelados PU","0400142282"
"040014","2283","Aquisición Fovissste PU","0400142283"
"040014","2284","Hipoteca NG","0400142284"
"040014","2285","Súper Casa Liquidez Pagos Congelados Seguro Financiado","0400142285"
"040014","2286","Remodelación Pagos Programados PU","0400142286"
"040014","2287","Remodelación Pagos Congelados PU","0400142287"
"040014","2288","Súper Casa Adquisición de Terreno Pagos Congelados Seguro Financiado","0400142288"
"040014","2289","Sustitución PU","0400142289"
"040014","2290","ADQUISICIÓN TASA MIXTA esquema 5/10 PU","0400142290"
"040014","2291","Hipoteca 10 x 1000 Adquisición Pagos Congelados Seguro Financiado","0400142291"
"040014","2292","Hipoteca 10 x 1000 INFONAVIT","0400142292"
"040014","2293","Hipoteca 10 x 1000 COFINAVIT","0400142293"
"040014","2294","Hipoteca 10 x 1000 FOVISSSTE Pagos Congelados Seguro Financiado","0400142294"
"040014","2295","Hipoteca 10 x 1000 Sustitución Pagos Congelados Seguro Financiado","0400142295"
"040014","2296","Adquisición Pagos Programados PU","0400142296"
"040014","2297","Adquisición Pagos Congelados PU","0400142297"
"040014","2298","Adquisición Infonavit Pagos Programados PU","0400142298"
"040014","2299","Adquisición Infonavit Pagos Congelados PU","0400142299"
"040014","2301","Crédito Hipotecario en Cofinanciamiento Pagos Programados PU","0400142301"
"040014","2302","Hipoteca 10 x 1000 Adquisición Pagos Congelados Seguro Mensual","0400142302"
"040014","2303","Hipoteca 10x1000 INFONAVIT Seguro Mensual","0400142303"
"040014","2304","Hipoteca 10 x1000 COFINAVIT Seguro Mensual","0400142304"
"040014","2305","Hipoteca 10x1000 FOVISSSTE Seguro Mensual","0400142305"
"040014","2306","Hipoteca 10 x 1000 Sustitución Pagos Congelados Seguro Mensual","0400142306"
"040014","2310","Hipoteca 10 x 1000 Liquidez Pagos Congelados Seguro Financiado","0400142310"
"040014","2320","Liquidez Twin","0400142320"
"040014","2321","Hipoteca 10x1000 Adquisición Pagos Crecientes Seguro Financiado","0400142321"
"040014","2322","Hipoteca 10x1000 Sustitución Pagos Crecientes Seguro Financiado","0400142322"
"040014","2323","Hipoteca 10x1000 FOVISSSTE Pagos Crecientes Seguro Financiado","0400142323"
"040014","2324","Hipoteca 10x1000 Liquidez Pagos Crecientes Seguro Financiado","0400142324"
"040014","2325","Hipoteca 10x1000 Remodelación y ampliación Pagos Crecientes Seguro Financiado","0400142325"
"040014","2326","Hipoteca 10x1000 Adquisición Pagos Crecientes Seguro Mensual","0400142326"
"040014","2327","Hipoteca 10x1000Sustitución Pagos Crecientes Seguro Mensual","0400142327"
"040014","2328","Hipoteca 10x1000 FOVISSSTE Pagos Crecientes Seguro Mensual","0400142328"
"040014","2329","Hipoteca 10x1000t Liquidez Pagos Crecientes Seguro Mensual","0400142329"
"040014","2330","Hipoteca 10x1000 Remodelación y ampliación Pagos Crecientes Seguro Mensual","0400142330"
"040014","2331","Hipoteca Light Adquisición con Apoyo INFONAVIT","0400142331"
"040014","2332","Hipoteca Light COFINAVIT","0400142332"
"040014","2333","Hipoteca Light Adquisición con Apoyo INFONAVIT Seguro Mensual","0400142333"
"040014","2334","Hipoteca Light Cofinanciamiento Seguro Mensual","0400142334"
"040014","2335","Hipoteca 10 x 1000 Remodelación y ampliación Pagos Congelados Seguro Financiado","0400142335"
"040014","2336","Hipoteca 10 x 1000 Remodelación y ampliación Pagos Congelados Seguro Mensual","0400142336"
"040014","2342","Hipoteca 10X1000 Cofinavit Seguro Mensual","0400142342"
"040014","2371","Porción ""B"" Hipoteca Light Cofinavit","0400142371"
"040014","2372","Porción ""B"" Hipoteca 10x1000 Cofinavit","0400142372"
"040014","2409","Hipoteca Crediferente Santander Adquisición con Apoyo INFONAVIT Pagos Congelados Seguro Mensual","0400142409"
"040014","2410","Hipoteca Crediferente Santander Seguro Mensual. Cofinanciamiento. Pagos Congelados","0400142410"
"040014","2411","Hipoteca Crediferente Santander Seguro Mensual. FOVISSSTE. Pagos Congelados","0400142411"
"040014","2412","Hipoteca Crediferente Santander. Apoyo Infonavit. Pagos Congelados","0400142412"
"040014","2413","Hipoteca Crediferente Santander. Cofinanciamiento. Pagos Congelados","0400142413"
"040014","2414","Hipoteca Crediferente Santander. FOVISSSTE. Pagos Congelados","0400142414"
